location,name,freq,weighting,n_factors,date,ret
dnk,accruals,monthly,vw_cap,5,2005-09-30,0.00120730464627608
dnk,accruals,monthly,vw_cap,5,2005-10-31,0.00712544983650884
dnk,accruals,monthly,vw_cap,5,2005-11-30,-0.0294992921708747
dnk,accruals,monthly,vw_cap,5,2005-12-31,-0.0224258515344541
dnk,accruals,monthly,vw_cap,6,2006-01-31,0.0376853938209493
dnk,accruals,monthly,vw_cap,6,2006-02-28,-0.00363082511890942
dnk,accruals,monthly,vw_cap,6,2006-03-31,-0.00186811576471328
dnk,accruals,monthly,vw_cap,6,2006-04-30,0.010136452887871
dnk,accruals,monthly,vw_cap,6,2006-05-31,0.00484890302801599
dnk,accruals,monthly,vw_cap,6,2006-06-30,-0.00351104907137061
dnk,accruals,monthly,vw_cap,6,2006-07-31,-0.0286975068049967
dnk,accruals,monthly,vw_cap,6,2006-08-31,0.0294009833749158
dnk,accruals,monthly,vw_cap,6,2006-09-30,-0.00984726401180864
dnk,accruals,monthly,vw_cap,6,2006-10-31,0.00996554937396136
dnk,accruals,monthly,vw_cap,6,2006-11-30,0.00715934588203835
dnk,accruals,monthly,vw_cap,6,2006-12-31,-0.00306747361691517
dnk,accruals,monthly,vw_cap,6,2007-01-31,0.0127309064522062
dnk,accruals,monthly,vw_cap,6,2007-02-28,0.0205576002758803
dnk,accruals,monthly,vw_cap,6,2007-03-31,0.0210418437600753
dnk,accruals,monthly,vw_cap,6,2007-04-30,0.00967441955935507
dnk,accruals,monthly,vw_cap,6,2007-05-31,-0.0265733430887412
dnk,accruals,monthly,vw_cap,6,2007-06-30,0.0114933237891359
dnk,accruals,monthly,vw_cap,6,2007-07-31,-0.00375707566577618
dnk,accruals,monthly,vw_cap,6,2007-08-31,-0.00828033239357027
dnk,accruals,monthly,vw_cap,6,2007-09-30,-0.0155872562311084
dnk,accruals,monthly,vw_cap,6,2007-10-31,0.00600893691025146
dnk,accruals,monthly,vw_cap,6,2007-11-30,0.0340615345401748
dnk,accruals,monthly,vw_cap,6,2007-12-31,0.0268522073970832
dnk,accruals,monthly,vw_cap,6,2008-01-31,-0.0211695359048126
dnk,accruals,monthly,vw_cap,6,2008-02-29,-0.012068144593065
dnk,accruals,monthly,vw_cap,6,2008-03-31,0.014970625383016
dnk,accruals,monthly,vw_cap,6,2008-04-30,0.00835780160187641
dnk,accruals,monthly,vw_cap,6,2008-05-31,0.0224118856525871
dnk,accruals,monthly,vw_cap,6,2008-06-30,-0.0193446482308373
dnk,accruals,monthly,vw_cap,6,2008-07-31,0.0306530572255665
dnk,accruals,monthly,vw_cap,6,2008-08-31,0.0480023636725739
dnk,accruals,monthly,vw_cap,6,2008-09-30,0.0632614389788641
dnk,accruals,monthly,vw_cap,6,2008-10-31,-0.0503981769136284
dnk,accruals,monthly,vw_cap,6,2008-11-30,0.0608992532475297
dnk,accruals,monthly,vw_cap,6,2008-12-31,0.000104681533598059
dnk,accruals,monthly,vw_cap,6,2009-01-31,0.00725344391098341
dnk,accruals,monthly,vw_cap,6,2009-02-28,-0.00824824557976785
dnk,accruals,monthly,vw_cap,6,2009-03-31,0.0634837484395672
dnk,accruals,monthly,vw_cap,6,2009-04-30,0.00691591112822785
dnk,accruals,monthly,vw_cap,6,2009-05-31,-0.0366395704695516
dnk,accruals,monthly,vw_cap,6,2009-06-30,-0.0178989664362014
dnk,accruals,monthly,vw_cap,6,2009-07-31,0.0117743517032964
dnk,accruals,monthly,vw_cap,6,2009-08-31,0.00493094037126881
dnk,accruals,monthly,vw_cap,6,2009-09-30,0.0256802429755796
